type,filename,dokid,datokode,tittel,korttittel,departement,etat,rettsomraade,i_kraft,siste_endring_i_kraft,sist_endret_ved,publisert_i,gjelder_for,siste_rettelse,refid,url
lov,nl-20210618-139.xml,NL/lov/2021-06-18-139,LOV-2021-06-18-139,Lov om utleie av små elektriske kjøretøy på offentlig grunn,Lov om utleie av små elektriske kjøretøy på offentlig grunn,Samferdselsdepartementet,,Transport og kommunikasjoner > Veitrafikk,2021-06-18,,,,,,lov/2021-06-18-139,https://lovdata.no/lov/2021-06-18-139
lov,nl-20210618-089.xml,NL/lov/2021-06-18-89,LOV-2021-06-18-89,Lov om Norges kontinentalsokkel,Lov om Norges kontinentalsokkel,Utenriksdepartementet,,Energirett > Petroleumsvirksomhet Internasjonal rett > Havrett Internasjonal rett > Konvensjoner. Overenskomster Næringsrett > Bergverk. Mineraler. Muting Næringsrett > Industri,2021-06-18,,,,,,lov/2021-06-18-89,https://lovdata.no/lov/2021-06-18-89
lov,nl-20210618-097.xml,NL/lov/2021-06-18-97,LOV-2021-06-18-97,Lov om barnevern (barnevernsloven),Barnevernsloven - bvl,Barne- og familiedepartementet,,"Familie-, person- og barnerett > Barnevern","2023-01-01, 2023-07-01, Kongen bestemmer",2026-06-19,lov/2026-06-19-35,,,2026-02-16 (inkurienote til § 14-23),lov/2021-06-18-97,https://lovdata.no/lov/2021-06-18-97
lov,nl-20210618-099.xml,NL/lov/2021-06-18-99,LOV-2021-06-18-99,Lov om virksomheters åpenhet og arbeid med grunnleggende menneskerettigheter og anstendige arbeidsforhold (åpenhetsloven),Åpenhetsloven,Barne- og familiedepartementet,,"Menneskerettigheter > EMK Menneskerettigheter > SP Arbeidsrett > Arbeidsforhold. Sysselsetting Bank, finans og regnskapsrett > Regnskap",2022-07-01,2024-11-01,lov/2024-06-21-42 fra 2024-11-01,,,2022-09-23 (rettet mellomrom i § 3),lov/2021-06-18-99,https://lovdata.no/lov/2021-06-18-99
lov,nl-20211222-161.xml,NL/lov/2021-12-22-161,LOV-2021-12-22-161,Lov om offentliggjøring av bærekraftsinformasjon i finanssektoren og et rammeverk for bærekraftige investeringer,Lov om offentliggjøring av bærekraftsinformasjon i finanssektoren mv.,Finansdepartementet,,"Bank, finans og regnskapsrett Bank, finans og regnskapsrett > Regnskap EU/EØS-rett EU/EØS-rett > Miljø og klima",2023-01-01,,,,,,lov/2021-12-22-161,https://lovdata.no/lov/2021-12-22-161
lov,nl-20211222-163.xml,NL/lov/2021-12-22-163,LOV-2021-12-22-163,Lov om forsikringsformidling (forsikringsformidlingsloven),Forsikringsformidlingsloven,Finansdepartementet,,"Bank, finans og regnskapsrett > Forsikring Erstatnings- og forsikringsrett EU/EØS-rett > Arbeids- og sosialpolitikk EU/EØS-rett > Finansielle tjenester","2022-01-01, 2022-07-01",2026-01-01,lov/2025-06-20-106 fra 2026-01-01,,,"2023-06-01 (§ 9-2 første ledd, note fjernet)",lov/2021-12-22-163,https://lovdata.no/lov/2021-12-22-163
lov,nl-20220128-002.xml,NL/lov/2022-01-28-2,LOV-2022-01-28-2,Lov om lønnsstøtte (økonomiske tiltak i møte med pandemien),Lov om lønnsstøtte (økonomiske tiltak i møte med pandemien),Finansdepartementet,,Arbeidsrett > Arbeidsforhold. Sysselsetting Pensjons- og trygderett > Utenfor folketrygdloven,2022-02-04,2026-01-01,lov/2025-04-25-12 fra 2026-01-01,,,,lov/2022-01-28-2,https://lovdata.no/lov/2022-01-28-2
lov,nl-20220304-007.xml,NL/lov/2022-03-04-7,LOV-2022-03-04-7,Lov om nasjonale saksbehandlingsregler i saker om offentlig støtte (støtteprosessloven),Støtteprosessloven,Nærings- og fiskeridepartementet,,EU/EØS-rett > Konkurranse og statsstøtte Forvaltnings- og kommunalrett > Offentlig forvaltning Internasjonal rett > Konvensjoner. Overenskomster,"2022-06-22, 2023-01-01",2026-01-01,"lov/2025-04-25-12 fra 2026-01-01, lov/2025-06-20-108 fra 2025-08-01",,,,lov/2022-03-04-7,https://lovdata.no/lov/2022-03-04-7
lov,nl-20220311-008.xml,NL/lov/2022-03-11-8,LOV-2022-03-11-8,Lov om tollavgift (tollavgiftsloven),Tollavgiftsloven - tavl,Finansdepartementet,,Skatte- og avgiftsrett > Toll,2023-01-01,2026-01-01,lov/2025-04-25-12 fra 2026-01-01,,,,lov/2022-03-11-8,https://lovdata.no/lov/2022-03-11-8
lov,nl-20220311-009.xml,NL/lov/2022-03-11-9,LOV-2022-03-11-9,Lov om inn- og utførsel av varer (vareførselsloven),Vareførselsloven - vfl.,Finansdepartementet,,Skatte- og avgiftsrett > Toll,2023-01-01,2025-01-01,lov/2024-12-20-91 fra 2025-01-01,,,,lov/2022-03-11-9,https://lovdata.no/lov/2022-03-11-9
